"Your order has been received","Recebemos o seu pedido"
"Something went wrong. Try again later.","Algo aconteceu de errado. Por favor, tente novamente mais tarde."
"Please select...","Por favor, selecione..."
"Hello %s, we have successfully saved your credentials.","Olá %s, suas credenciais foram salvas com sucesso."
"Could not authenticate > %s","Não foi possível autenticar > %s"
"Webhooks have been successfully checked.","Webhooks verificados com sucesso."
"Could not check the webhooks > %s","Não foi possível verificar webhooks > %s"
"Order #%s","Pedido #%s"
"Bank billet has been created","O boleto bancário foi gerado"
"Bank billet has been paid","O boleto bancário foi pago"
"Line %s","Linha %s"
"Sandbox","Sandbox"
"Production","Produção"
"Pending","Pendente"
"Waiting Payment","Aguardando Pagamento"
"Paid","Pago"
"Boleto Simples (developed by codigo5.com.br)","Boleto Simples (desenvolvido por codigo5.com.br)"
"Enabled","Habilitado"
"Title","Título"
"Environment","Ambiente"
"Access Token","Token de Acesso"
"Webhook Secret Key","Chave Secreta do Webhook"
"Expiry Days","Dias de Expiração"
"New Order Status","Status de Pedido Novo"
"CPF/CNPJ Attribute","Atributo CPF/CNPJ do Cliente"
"(1) Address Attribute","(1) Atributo <strong>Rua</strong> do Endereço"
"(2) Address Number Attribute","(2) Atributo <strong>Número</strong> do Endereço"
"(3) Address Complement Attribute","(3) Atributo <strong>Complemento</strong> do Endereço"
"(4) Address Neighborhood Attribute","(4) Atributo <strong>Bairro</strong> do Endereço"
"Sort Order","Ordem de Exibição"
"Don't you have an account? Register for free.","Não tem uma conta ainda? Cadastre-se gratuitamente."
"You can leave it empty or follow the %stutorial to create a webhook manually%s and put its secret key here.","Você pode deixar este campo vazio ou seguir o %stutorial para criar um webhook manualmente%s e inserir a chave secreta dele por aqui."
"It must be between 1 and 31 (days).","Este campo deve estar preenchido entre 1 e 31 (dias)."
"You must change the %s'Number of Lines in a Street Address'%s to 4 lines to be able to specify all the address' attributes.","Você tem que atualizar o %s'Número de Linhas p/ Endereço'%s para 4 linhas antes de mapear os atributos de endereço."
"Version ","Versão "
"Developed by ","Desenvolvido por "
"Print your Bank Billet","Imprima seu Boleto Bancário"
